"Zip.Code"	"MDFTE"	"numCrimes"	"population"	"percentMale"	"percentUnder5"	"percent5to9"	"percent10to14"	"percent15to19"	"percent20to24"	"percent25to29"	"percent30to34"	"percent35to39"	"percent40to44"	"percent45to49"	"percent50to54"	"percent55to59"	"percent60to64"	"percent65to69"	"percent70to74"	"percent75to79"	"percent80to84"	"percent85Plus"	"percentWhiteAlone"	"percentAsianAlone"	"percentBlackAAAlone"	"percentAmericanIndianAlone"	"percentHPIAlone"	"percent2OrMoreRaces"	"percentSomeOtherRaceAlone"	"percent2OrMoreIncSomeOtherRace"	"percent2OrMoreExcSomeOtherRace"	"income"	"MDFTEPerT"	"CrimeRatePerT"	"percentUnder20"	"percent20to40"	"percent40to60"	"percent60to80"	"percent80Plus"	"NotBlackWhiteAsian"
40207	249.815476190476	582	29805	0.468310686126489	0.057	0.059	0.056	0.043	0.056	0.081	0.066	0.062	0.061	0.067	0.068	0.077	0.067	0.051	0.036	0.03	0.03	0.031	0.926958563999329	0.0223452440865627	0.030431135715484	0.00338869317228653	0	0.00989766817648046	0.00697869484985741	0.000402617010568697	0.00949505116591176	13569	8.38166335146708	19.5269250125818	0.215	0.265	0.273	0.184	0.061	0.0301627243751048
40241	11.75	1537	29783	0.488197965282208	0.054	0.058	0.071	0.061	0.053	0.073	0.063	0.053	0.078	0.078	0.07	0.072	0.063	0.045	0.034	0.027	0.024	0.025	0.77735620991841	0.0769230769230769	0.122620286740758	0.000637947822583353	0	0.018601215458483	0.00386126313668872	0.000839405029714938	0.0177618104287681	12293	0.394520363966021	51.6066212268744	0.244	0.242	0.298	0.169	0.049	0.0417016418762381
40217	11	1330	12813	0.513775072192305	0.048	0.03	0.046	0.066	0.094	0.107	0.072	0.059	0.073	0.069	0.087	0.062	0.052	0.034	0.028	0.022	0.023	0.028	0.837586825879966	0.0499492702723796	0.0769530945133848	0	0	0.0249746351361898	0.0105361741980801	0	0.0249746351361898	5929	0.858503082806525	103.800827284789	0.19	0.332	0.291	0.136	0.051	0.0604854444704597
40272	12	4033	37708	0.48469820727697	0.063	0.058	0.08	0.062	0.061	0.066	0.073	0.063	0.072	0.072	0.072	0.06	0.061	0.033	0.033	0.031	0.021	0.018	0.933197199533256	0.00514479686008274	0.0360666171634666	0.00175029171528588	0.000742548000424313	0.01758247586719	0.0055160708602949	0.00172377214384216	0.0158587037233478	14066	0.318234857324706	106.953431632545	0.263	0.263	0.276	0.158	0.039	0.0431738623103851
40243	4	685	10509	0.497002569226377	0.048	0.04	0.058	0.042	0.051	0.066	0.067	0.057	0.061	0.071	0.068	0.073	0.073	0.064	0.039	0.036	0.036	0.048	0.864782567323247	0.0177942715767437	0.0650870682272338	0	0.000761252259967647	0.0196022456941669	0.0319725949186412	0.00523360928727757	0.0143686364068893	4654	0.380626129983823	65.1822247597297	0.188	0.241	0.273	0.212	0.084	0.0719383385669426
40202	191.183333333333	4056	6442	0.642812791058677	0.017	0.009	0.046	0.061	0.127	0.125	0.132	0.06	0.097	0.061	0.081	0.063	0.063	0.045	0.002	0.005	0.004	0.001	0.402669978267619	0.0156783607575287	0.54330953120149	0.000776156473144986	0	0.0307357963365414	0.00683017696367588	0	0.0307357963365414	2725	29.6776363448204	629.618131015213	0.133	0.444	0.302	0.115	0.005	0.0690779261099038
40219	8.66666666666667	5239	39577	0.478586047451803	0.077	0.061	0.062	0.061	0.084	0.071	0.072	0.066	0.071	0.058	0.073	0.057	0.054	0.032	0.032	0.028	0.022	0.02	0.697501073856027	0.0288551431386917	0.202365009980544	0.00133916163428254	0.000277939207115244	0.0423730954847512	0.0272885766985876	0.00449756171513758	0.0378755337696137	15722	0.21898240560595	132.374864188797	0.261	0.293	0.259	0.146	0.042	0.113651868509488
40222	99	1326	21628	0.467079711485112	0.059	0.054	0.039	0.043	0.058	0.09	0.077	0.056	0.054	0.065	0.069	0.068	0.055	0.064	0.039	0.034	0.042	0.035	0.86027371925282	0.0429073423340115	0.0626040318106159	0.00545589051229887	0	0.0236267800998705	0.00513223599038284	0.00268170889587572	0.0209450712039948	9782	4.57739966709821	61.3094137229517	0.195	0.281	0.256	0.192	0.077	0.0578416867024228
40299	9	856	38530	0.491201661043343	0.071	0.08	0.064	0.052	0.038	0.063	0.069	0.079	0.076	0.078	0.078	0.075	0.056	0.04	0.032	0.021	0.013	0.014	0.865092135997924	0.0207111341811575	0.0792369582143784	0	0	0.0237217752400727	0.0112379963664677	0.00205035037633013	0.0216714248637425	14852	0.233584220088243	22.2164547106151	0.267	0.249	0.307	0.149	0.027	0.058681546846613
40204	336.45	2846	14426	0.504713711354499	0.044	0.044	0.03	0.04	0.067	0.125	0.107	0.073	0.067	0.069	0.078	0.061	0.073	0.044	0.029	0.02	0.013	0.017	0.890683488146402	0.0135172605018716	0.0621793983086095	0.000485234992374879	0.00124774712324969	0.0257867738804936	0.00610009704699848	0.00748648273949813	0.0183002911409954	7046	23.3224733120754	197.282684042701	0.158	0.372	0.275	0.166	0.03	0.0594066269236101
40216	44.4642857142857	3894	40903	0.470919003496076	0.062	0.067	0.068	0.069	0.065	0.066	0.053	0.068	0.065	0.068	0.082	0.074	0.053	0.034	0.031	0.026	0.028	0.02	0.603354277192382	0.00479182456054568	0.349216438892013	0.00022003276043322	0	0.0351318974158375	0.00728552917878884	0.00298266630809476	0.0321492311077427	16431	1.08706661404508	95.2008410141065	0.266	0.252	0.289	0.144	0.048	0.077769356770897
40229	0.666666666666667	2461	36741	0.492528782558994	0.077	0.077	0.076	0.064	0.075	0.061	0.079	0.081	0.063	0.079	0.064	0.053	0.047	0.041	0.028	0.019	0.01	0.006	0.901608557197681	0.00503524672708963	0.069513622383713	0.000489915897770883	0	0.0189434147138075	0.00440924307993794	0.000299393048637762	0.0186440216651697	13422	0.0181450332507734	66.9823902452301	0.294	0.296	0.259	0.135	0.016	0.0427859884053238
40205	9	1574	23865	0.468007542426147	0.052	0.044	0.046	0.064	0.065	0.064	0.068	0.061	0.066	0.067	0.073	0.085	0.078	0.053	0.032	0.029	0.026	0.026	0.955206369159858	0.0103917871359732	0.0150848522941546	0.00029331657238634	0	0.0156295830714435	0.00339409176618479	0.00238843494657448	0.0132411481248691	10619	0.377121307353866	65.9543264194427	0.206	0.258	0.291	0.192	0.052	0.0349465744814582
40245	4.66666666666667	878	30743	0.491559054093615	0.08	0.085	0.072	0.052	0.036	0.048	0.063	0.082	0.091	0.078	0.074	0.073	0.062	0.05	0.025	0.015	0.012	0.004	0.812835442214488	0.0532804215593794	0.0880200370816121	9.7583189669193e-05	9.7583189669193e-05	0.0244608528770777	0.0212080798881046	0.00104088735647139	0.0234199655206063	11185	0.151796072818745	28.5593468431838	0.289	0.229	0.316	0.152	0.016	0.0703249520215984
40215	261	4210	22747	0.489295291686816	0.097	0.078	0.075	0.066	0.077	0.077	0.071	0.063	0.064	0.07	0.07	0.061	0.046	0.021	0.023	0.015	0.014	0.009	0.601529872071042	0.00624258143931068	0.327515716358201	0.00241790126170484	0	0.052930056710775	0.00936387215896602	0.0021101683738515	0.0508198883369236	8698	11.4740405328175	185.079351123225	0.316	0.288	0.265	0.105	0.023	0.117641886842221
40220	133.55	1757	33525	0.480089485458613	0.064	0.05	0.054	0.05	0.06	0.08	0.074	0.065	0.051	0.07	0.074	0.073	0.073	0.045	0.024	0.03	0.031	0.03	0.78738255033557	0.0218642803877703	0.170380313199105	0.000865026099925429	0.00113348247576435	0.0165548098434004	0.00181953765846383	0.00396718866517524	0.0125876211782252	14166	3.98359433258762	52.4086502609993	0.218	0.279	0.268	0.172	0.061	0.0369276659209545
40203	5	6014	18884	0.492374496928617	0.088	0.078	0.053	0.054	0.089	0.079	0.071	0.058	0.046	0.068	0.067	0.06	0.052	0.042	0.026	0.015	0.023	0.034	0.344736284685448	0.0031243380639695	0.619466214785003	0.0012179622961237	0.00174751112052531	0.0286485914001271	0.00105909764880322	0.00137682694344419	0.0272717644566829	8902	0.264774412200805	318.470662995128	0.273	0.297	0.241	0.135	0.057	0.0613217538657064
40218	15	3654	29834	0.474123483274117	0.092	0.056	0.056	0.058	0.073	0.081	0.081	0.063	0.067	0.057	0.07	0.066	0.052	0.041	0.027	0.025	0.017	0.019	0.573674331299859	0.014513642153248	0.367064423141382	0.000905007709324931	0	0.0295635851712811	0.0142790105249045	0.000804451297177717	0.0287591338741034	12911	0.502782060736073	122.477709995307	0.262	0.298	0.26	0.145	0.036	0.0743111885767916
40214	8	6038	46134	0.489768933974943	0.061	0.071	0.069	0.065	0.062	0.075	0.065	0.065	0.063	0.079	0.081	0.065	0.06	0.035	0.029	0.021	0.019	0.015	0.740234967702779	0.0690380196817965	0.144145315819136	0.00210257077209867	0.000281787835435904	0.0363939827459141	0.00780335544284042	0.00420514154419734	0.0321888412017167	18539	0.173407898729787	130.879611566307	0.266	0.267	0.288	0.145	0.034	0.0829756795422031
40223	31.1988095238095	855	21610	0.47403979639056	0.048	0.072	0.065	0.056	0.054	0.064	0.061	0.054	0.056	0.073	0.078	0.083	0.071	0.063	0.038	0.023	0.025	0.017	0.864368347987043	0.0410458121240167	0.0788523831559463	0.000694123091161499	0	0.00883850069412309	0.00620083294770939	0.0012031466913466	0.00763535400277649	8803	1.4437209404817	39.5650161962055	0.241	0.233	0.29	0.195	0.042	0.0245719574271171
40228	1	1236	15771	0.464713715046605	0.072	0.067	0.068	0.077	0.046	0.056	0.059	0.055	0.062	0.076	0.096	0.061	0.062	0.05	0.036	0.022	0.022	0.015	0.788092067719231	0.0138228393887515	0.16460592226238	0	0	0.0277724938177668	0.00570667681186989	0.000380445120791326	0.0273920486969755	6160	0.0634075201318876	78.3716948830131	0.284	0.216	0.295	0.17	0.037	0.0612516644474035
40213	11.5	2557	15921	0.486652848439168	0.064	0.058	0.065	0.051	0.076	0.094	0.093	0.042	0.05	0.082	0.068	0.075	0.052	0.038	0.024	0.028	0.02	0.021	0.756862006155392	0.00948432887381446	0.185541109226807	0.00282645562464669	0	0.0315934928710508	0.0136926072482884	0.000439670874945041	0.0311538219961058	7050	0.722316437409711	160.605489604924	0.238	0.305	0.275	0.142	0.041	0.0797060486150367
40291	1	2053	34087	0.481913926130196	0.068	0.058	0.068	0.052	0.063	0.066	0.074	0.067	0.072	0.08	0.071	0.059	0.066	0.048	0.035	0.024	0.014	0.014	0.854695338398803	0.0108545779916097	0.104233285416728	0.0014081614691818	0.00114413119371021	0.0210344119459031	0.00663009358406431	0	0.0210344119459031	13637	0.0293366972746208	60.2282395047965	0.246	0.27	0.282	0.173	0.028	0.0512512101387626
40206	1.66666666666667	1935	18778	0.48045585259346	0.053	0.035	0.046	0.046	0.069	0.105	0.094	0.074	0.068	0.058	0.071	0.077	0.069	0.038	0.03	0.019	0.021	0.027	0.851581638087123	0.0194908935988923	0.0924486100756204	0.00133134519118117	0	0.0254020662477367	0.00974544679944616	0.000745553307061455	0.0246565129406753	9373	0.0887563460787446	103.046117797423	0.18	0.342	0.274	0.156	0.048	0.0618809244861008
40059	14.5	191	17330	0.496191575302943	0.049	0.071	0.089	0.079	0.022	0.021	0.045	0.056	0.095	0.094	0.099	0.068	0.081	0.055	0.034	0.023	0.011	0.008	0.893768032313907	0.0425851125216388	0.0409694171956145	0.00155799192152337	0	0.0115406809001731	0.00957876514714368	0.00115406809001731	0.0103866128101558	6408	0.836699365262551	11.0213502596653	0.288	0.144	0.356	0.193	0.019	0.0342181188690133
40208	18.5	3336	14482	0.514984118215716	0.031	0.049	0.039	0.18	0.209	0.087	0.052	0.044	0.042	0.068	0.064	0.048	0.031	0.02	0.013	0.009	0.007	0.008	0.668208810937716	0.0061455600055241	0.27834553238503	0.00179533213644524	0.00172628090042812	0.0421903052064632	0.00158817842839387	0.00131197348432537	0.0408783317221378	5520	1.27744786631681	230.354923353128	0.299	0.392	0.222	0.073	0.015	0.0894904018781936
40242	0	396	11193	0.468685785758956	0.061	0.072	0.055	0.052	0.07	0.062	0.072	0.073	0.059	0.052	0.075	0.085	0.062	0.044	0.031	0.033	0.026	0.016	0.843294916465648	0.0330563745197892	0.101849370142053	0.00268024658268561	0	0.0146520146520147	0.00446707763780935	0.000893415527561869	0.0137585991244528	4567	0	35.37925489145	0.24	0.277	0.271	0.17	0.042	0.0364513535245243
40211	26.75	6172	22297	0.44526169439835	0.06	0.08	0.088	0.087	0.063	0.052	0.063	0.055	0.055	0.066	0.081	0.068	0.055	0.031	0.026	0.026	0.025	0.02	0.0607256581602906	0.000762434408216352	0.903081131990851	0.00677221150827466	0	0.0284343185181863	0.00022424541418128	0.00130062340225142	0.0271336951159349	8860	1.19971296586985	276.808539265372	0.315	0.233	0.27	0.138	0.045	0.0638650939588285
40258	14.15	3055	27394	0.475907132948821	0.059	0.068	0.073	0.072	0.067	0.066	0.047	0.064	0.069	0.076	0.086	0.065	0.045	0.036	0.037	0.027	0.021	0.02	0.824414105278528	0.00116813900854202	0.144995254435278	0.00091260860042345	0	0.0267576841644156	0.00175220851281302	0.00317587792947361	0.023581806234942	10434	0.516536467839673	111.520770971746	0.272	0.244	0.296	0.145	0.041	0.0561801854420676
40212	18.75	4310	18359	0.47175772100877	0.065	0.068	0.094	0.078	0.064	0.059	0.052	0.062	0.058	0.073	0.077	0.067	0.069	0.041	0.022	0.023	0.015	0.013	0.380467345715998	0	0.592897216623999	0.00108938395337437	0	0.0245111389509233	0.00103491475570565	0.0011983223487118	0.0233128166022115	7060	1.02129745628847	234.762241952176	0.305	0.237	0.275	0.155	0.028	0.0511465766109265
40118	4	891	9452	0.462230215827338	0.059	0.074	0.084	0.081	0.061	0.061	0.06	0.068	0.046	0.066	0.079	0.063	0.062	0.066	0.02	0.016	0.019	0.014	0.933876428269149	0.00349132458738891	0.00465509944985188	0.000952179432924249	0	0.0359712230215827	0.0210537452391028	0.00148116800677105	0.0344900550148117	3416	0.423190859077444	94.2657638595006	0.298	0.25	0.254	0.164	0.033	0.0939483707151925
